iindex,DateTime,CloseTime,Julian Open Time,Julian Closing Time,Latitude,Longitude,AltP_feet,AltP_meters,CH4 (ppmv),CH4 (ppbv),CO (ppbv),CO2_ppm,OCS (MS),DMS (MS),CS2 (MS),CFC-12 (C/D),CFC-11 (C/D),CFC-113 (D),CFC-114 (C/MS),H-1211 (C/D),H-1301 (C),HFC-152a (MS),HFC-134a (MS),HCFC-22 (MS),HCFC-142b,HCFC-141b (MS),CHCl3 (C/D),CH3CCl3 (C/MS),CCl4 (C/MS),CH2Cl2 (C/D/MS),C2HCl3 (D/MS),C2Cl4 (C/MS),CH3Cl (MS),CH3Br (C/MS),CH3I (C/D),CH2Br2 (D),CHBrCl2 (D),CHBr2Cl (D),CHBr3 (C/MS),EtCl (MS),"1,2-DCE (MS)",MeONO2 (C/D),EtONO2 (C/D),i-PrONO2 (D),n-PrONO2 (C),2-BuONO2 (D),3-PeONO2 (D),2-PeONO2 (D),3-Methyl-2-BuONO2 (D),Ethane (E),Ethene (E),Ethyne (E),Propane (E/B),Propene (E),i-Butane (E),n-Butane (E),i-Butene (E),1-Butene (E),trans-2-Butene (MS),cis-2-Butene (MS),i-Pentane (E),n-Pentane (E),1-Pentene,Isoprene (E/B),"1,3-Butadiene (B)",trans-2-Pentene,cis-2-Pentene,3-Methyl-1-butene,2-Methyl-1-Butene,2-Methyl-2-butene,"1,2-Propadiene",n-Hexane (E),n-Heptane (E),n-Octane (B),n-Nonane (B),n-Decane (B),"2,2-Dimethylbutane (B)","2,3-Dimethylbutane (MS)",2-Methylpentane (MS),3-Methylpentane (MS),2-Methylhexane (B),3-Methylhexane (B),2-Methylheptane (B),3-Methylheptane (B),"2,3-Dimethylpentane (B)","2,4-Dimethylpentane (B)","2,2,4-Trimethylpentane (B)","2,3,4-Trimethylpentane",Cyclopentane (B),Methylcyclopentane (B),Cyclohexane,Methylcylohexane (B),Benzene (E/MS),Toluene (B),Ethylbenzene (MS),m/p-Xylene (MS),o-Xylene (MS),Styrene (MS),i-Propylbenzene (MS),n-Propylbenzene (MS),3-Ethyltoluene (MS),4-Ethyltoluene (MS),2-Ethyltoluene (MS),"1,3,5-Trimethylbenzene (MS)","1,2,4-Trimethylbenzene (MS)","1,2,3-Trimethylbenzene (MS)",alpha-Pinene (MS),beta-Pinene (MS),LL,Year,Month,Day,Hour
10,2009-07-21 19:40:00,19:41:11,40015.81979,40015.82027,36.03666667,-119.39,1218.0,371.2464,1.987,198.7,,,507.0,37.1,,547.0,244.0,78.0,17.0,4.381,3.4,,64.5,236.0,25.2,26.5,20.85,9.26,90.4,57.3,0.3,4.09,521.0,10.26,0.399,0.63,0.3,,,,,10.11,6.95,9.89,1.57,7.48,1.12,2.16,,719.0,65.0,109.0,441.0,8.0,59.0,86.0,,,,,100.0,44.0,,,,,,,,,,31.0,6.0,,,,11.0,7.0,57.0,22.0,8.0,10.0,,,,3.0,11.0,,4.0,,,,18.0,25.0,,,,,,,4.0,,,11.0,30.0,9.0,,,"(36.03666667, -119.39)",2009,7,21,19
11,2009-07-21 19:42:00,19:42:45,40015.82083,40015.82135,36.11333333,-119.3083333,1201.0,366.0648,1.891,189.1,,,499.0,32.1,,533.0,240.0,76.9,16.7,4.4,3.5,,59.0,224.0,25.3,26.7,20.7,9.1,90.6,55.2,0.24,3.71,507.0,10.31,0.337,0.62,0.28,,,,,9.41,6.82,8.98,1.48,7.56,0.96,1.99,,771.0,57.0,99.0,389.0,8.0,65.0,91.0,,,,,84.0,41.0,,4.0,,,,,,,,12.0,7.0,,,,8.0,4.0,57.0,8.0,34.0,9.0,,,,,8.0,,,,,,19.0,19.0,5.0,,,,,,,,,6.0,21.0,9.0,,,"(36.11333333, -119.3083333)",2009,7,21,19
12,2009-07-21 19:43:00,19:44:16,40015.82188,40015.82241,36.18166667,-119.2366667,1248.0,380.3904,2.066,206.6,,,487.0,42.0,,532.0,238.0,76.1,16.6,4.39,3.3,,79.7,273.0,24.4,27.7,24.0,9.83,89.7,70.6,0.43,5.65,503.0,18.29,0.451,0.65,0.34,,,,,10.92,8.91,13.02,2.02,8.6,1.2,2.545,,962.0,139.0,184.0,764.0,18.0,79.0,109.0,,4.0,,,192.0,87.0,,27.0,,,,,,,,26.0,16.0,,,,16.0,12.0,95.0,26.0,18.0,19.0,,,4.0,6.0,20.0,,6.0,,,,29.0,60.0,,,,,,,,,,9.0,30.0,11.0,4.0,6.0,"(36.18166667, -119.2366667)",2009,7,21,19
13,2009-07-21 19:45:00,19:45:48,40015.82292,40015.82347,36.25666667,-119.155,1227.0,373.9896,2.139,213.9,,,495.0,33.0,,542.0,242.0,77.5,16.7,4.495,3.4,,66.3,233.0,25.5,29.0,24.45,9.5,92.7,84.0,0.34,5.41,515.0,22.18,0.544,0.7,0.28,,,,,12.25,10.28,14.95,2.32,8.62,1.27,2.435,,768.0,99.0,163.0,719.0,12.0,56.0,64.0,,,,,122.0,48.0,,10.0,,,,,,,,18.0,21.0,,,,12.0,6.0,81.0,15.0,14.0,13.0,,,,5.0,15.0,,,,,,27.0,40.0,6.0,,,,,,,,,8.0,20.0,14.0,6.0,4.0,"(36.25666667, -119.155)",2009,7,21,19
14,2009-07-21 19:46:00,19:47:12,40015.82396,40015.82444,36.33333333,-119.1483333,1263.0,384.9624,1.859,185.9,,,488.0,37.2,,541.0,241.0,76.8,16.8,4.486,3.6,,85.0,253.0,25.2,29.9,29.55,9.77,93.3,72.4,0.72,12.6,510.0,79.05,0.632,0.72,0.4,,,,,13.47,11.64,20.57,2.9,12.27,1.86,3.735,,1046.0,182.0,294.0,1175.0,23.0,181.0,134.0,,3.0,,,287.0,102.0,,104.0,,,,,,,,44.0,33.0,4.0,,,25.0,19.0,97.0,42.0,40.0,28.0,,,7.0,59.0,40.0,,7.0,,,,46.0,105.0,17.0,,,,,,,,,16.0,46.0,17.0,7.0,8.0,"(36.33333333, -119.1483333)",2009,7,21,19
15,2009-07-21 19:48:00,19:48:44,40015.825,40015.82551,36.36333333,-119.2483333,1261.0,384.3528,2.077,207.7,,,478.0,17.5,,530.0,239.0,76.2,16.4,4.267,3.3,,111.9,258.0,25.0,28.5,26.55,9.44,92.5,74.6,0.5,8.16,501.0,13.59,0.592,0.7,0.3,,,,,14.23,10.06,18.6,2.65,10.21,1.41,3.085,,857.0,147.0,220.0,925.0,13.0,166.0,77.0,,4.0,,,164.0,61.0,,26.0,,,,,,,,26.0,28.0,,,,19.0,,88.0,21.0,17.0,23.0,,,3.0,8.0,22.0,,10.0,,,,34.0,55.0,,,,,,,,,,8.0,19.0,7.0,5.0,,"(36.36333333, -119.2483333)",2009,7,21,19
16,2009-07-21 19:49:00,19:50:13,40015.82604,40015.82654,36.39333333,-119.3616667,1260.0,384.048,1.995,199.5,,,504.0,16.1,,534.0,244.0,77.0,16.8,4.657,3.4,,109.4,284.0,27.0,31.0,27.15,9.78,94.4,78.4,1.38,18.41,519.0,13.05,0.59,0.71,0.3,,,,,14.55,10.45,22.09,3.02,11.77,2.18,4.365,,982.0,205.0,415.0,1382.0,12.0,109.0,134.0,,3.0,,,288.0,100.0,,,,,,,,,,48.0,38.0,5.0,,,26.0,18.0,116.0,41.0,26.0,30.0,,,8.0,17.0,41.0,,8.0,,,,52.0,100.0,15.0,,,,,,3.0,,,13.0,28.0,19.0,8.0,,"(36.39333333, -119.3616667)",2009,7,21,19
17,2009-07-21 19:51:00,19:51:45,40015.82708,40015.8276,36.425,-119.465,1267.0,386.1816,1.857,185.7,,,498.0,11.9,,539.0,242.0,77.2,16.6,4.533,3.7,,85.4,269.0,25.3,28.9,23.7,9.38,91.6,75.2,0.67,9.8,509.0,11.75,0.483,0.59,0.26,,,,,12.49,10.12,18.76,3.86,10.23,1.72,3.535,,776.0,125.0,234.0,890.0,13.0,110.0,86.0,,,,,196.0,65.0,,5.0,,,,,,,,27.0,24.0,,,,20.0,12.0,98.0,23.0,31.0,31.0,,,3.0,8.0,24.0,,6.0,,,,44.0,63.0,10.0,,,,,,,,,12.0,47.0,25.0,4.0,,"(36.425, -119.465)",2009,7,21,19
18,2009-07-21 19:52:00,19:53:12,40015.82813,40015.82861,36.46166667,-119.5783333,1268.0,386.4864,1.934,193.4,,,487.0,10.9,,533.0,243.0,77.3,16.7,4.295,3.3,,64.7,234.0,24.1,26.7,22.5,9.42,92.2,65.2,0.31,5.33,500.0,9.59,0.381,0.66,0.24,,,,,10.99,7.18,11.42,1.62,6.07,1.04,2.005,,660.0,72.0,138.0,508.0,9.0,84.0,52.0,,,,,108.0,38.0,,,,,,,,,,21.0,11.0,,,,10.0,5.0,61.0,12.0,11.0,10.0,,,,,10.0,,,,,,21.0,29.0,5.0,,,,,,,,,4.0,10.0,5.0,,,"(36.46166667, -119.5783333)",2009,7,21,19
19,2009-07-21 19:54:00,19:54:44,40015.82917,40015.82968,36.49666667,-119.6866667,1257.0,383.1336,1.906,190.6,,,501.0,15.1,,533.0,239.0,76.2,16.6,4.238,3.3,,57.4,227.0,24.8,26.8,20.25,9.18,89.7,59.8,0.21,3.35,507.0,9.59,0.327,0.63,0.2,,,,,9.33,6.03,8.21,1.24,4.39,0.69,1.31,,579.0,53.0,92.0,350.0,9.0,44.0,39.0,,,,,80.0,27.0,,4.0,,,,,,,,14.0,9.0,,,,9.0,5.0,49.0,9.0,9.0,10.0,,,,24.0,13.0,,,,,,15.0,21.0,4.0,,,,,,3.0,,,30.0,85.0,106.0,,,"(36.49666667, -119.6866667)",2009,7,21,19
20,2009-07-21 19:55:00,19:56:13,40015.83021,40015.83071,36.525,-119.7916667,1253.0,381.9144,1.882,188.2,,,498.0,11.6,,531.0,239.0,76.7,16.6,4.248,3.3,,55.5,222.0,24.3,25.7,19.35,9.06,88.7,58.5,0.2,3.3,508.0,9.28,0.293,0.6,0.22,,,,,7.94,5.42,6.22,1.02,3.53,0.54,1.105,,544.0,40.0,77.0,204.0,4.0,14.0,30.0,,,,,54.0,18.0,,9.0,,,,,,,,8.0,3.0,,,,8.0,,45.0,4.0,20.0,10.0,,,,,8.0,,,,,,14.0,17.0,11.0,,,,,,,,,5.0,44.0,30.0,,,"(36.525, -119.7916667)",2009,7,21,19
21,2009-07-21 19:57:00,19:58:11,40015.8316,40015.83207,36.55166667,-119.9383333,1256.0,382.8288,1.979,197.9,,,504.0,22.0,,536.0,243.0,77.7,17.1,4.352,3.4,,57.5,220.0,24.8,27.0,20.4,9.25,90.0,61.3,0.22,3.56,513.0,9.94,0.343,0.63,0.22,,,,,9.52,6.66,7.49,1.26,3.92,0.56,1.11,,564.0,60.0,92.0,318.0,9.0,17.0,29.0,,,,,56.0,22.0,,,,,,,,,,9.0,7.0,,,,,,37.0,,14.0,32.0,,,,,5.0,,,,,,15.0,22.0,,,,,,,,,5.0,55.0,203.0,256.0,,,"(36.55166667, -119.9383333)",2009,7,21,19
22,2009-07-21 19:59:00,19:59:41,40015.83264,40015.83311,36.57833333,-120.0483333,1233.0,375.8184,1.905,190.5,,,468.0,10.4,,531.0,239.0,76.5,16.7,4.2,3.3,,52.5,209.0,22.7,24.7,18.15,9.14,88.5,57.9,0.22,3.14,502.0,9.07,0.329,0.61,0.2,,,,,8.62,5.21,5.6,0.88,3.15,0.43,0.815,,546.0,53.0,74.0,231.0,9.0,44.0,50.0,,,,,52.0,23.0,,,,,,,,,,9.0,5.0,,,,,,48.0,,16.0,25.0,,,,,7.0,,,,,,12.0,15.0,,,,,,,,,,,9.0,6.0,,,"(36.57833333, -120.0483333)",2009,7,21,19
23,2009-07-21 20:00:00,20:01:07,40015.83368,40015.83411,36.60166667,-120.16,1210.0,368.808,1.947,194.7,,,477.0,19.5,,532.0,238.0,76.9,16.4,4.914,3.5,,62.3,218.0,23.9,29.9,22.2,9.36,88.4,60.9,0.29,3.74,527.0,10.06,0.49,0.65,0.62,,,,,9.36,6.14,7.05,1.49,4.08,0.53,1.0,,554.0,71.0,92.0,211.0,15.0,22.0,77.0,,4.0,,,49.0,20.0,,15.0,,,,,,,,11.0,6.0,4.0,,,,5.0,183.0,7.0,38.0,52.0,,,,,9.0,,,,,,69.0,253.0,10.0,,,,,,,,,47.0,197.0,156.0,26.0,20.0,"(36.60166667, -120.16)",2009,7,21,20
24,2009-07-21 20:02:00,20:02:40,40015.83472,40015.83519,36.58,-120.2766667,1199.0,365.4552,1.892,189.2,,,488.0,11.5,,534.0,239.0,76.6,16.6,4.152,3.3,,54.6,211.0,23.2,25.7,21.9,8.97,87.6,61.3,0.2,3.07,501.0,9.15,0.301,0.63,0.36,,,,,10.1,5.07,5.44,0.88,2.91,0.42,0.86,,504.0,68.0,91.0,175.0,6.0,15.0,23.0,,,,,,18.0,,4.0,,,,,,,,7.0,5.0,,,,,,37.0,,9.0,19.0,,,,,6.0,,,,,,13.0,15.0,,,,,,,,,,6.0,22.0,24.0,,,"(36.58, -120.2766667)",2009,7,21,20
25,2009-07-21 20:03:00,20:04:12,40015.83576,40015.83625,36.57,-120.3816667,1199.0,365.4552,1.933,193.3,,,473.0,14.2,,534.0,239.0,76.6,16.3,4.21,3.5,,58.3,215.0,23.5,27.2,20.25,9.04,88.4,55.2,0.25,3.48,508.0,9.64,0.414,0.66,0.28,,,,,10.89,6.05,7.45,1.01,4.16,0.62,1.235,,529.0,54.0,82.0,245.0,5.0,17.0,28.0,,,,,52.0,23.0,,,,,,,,,,9.0,3.0,,,,,,37.0,,19.0,18.0,,,,31.0,8.0,,,,,,15.0,20.0,,,,,,,,,,,6.0,,,,"(36.57, -120.3816667)",2009,7,21,20
26,2009-07-21 20:05:00,20:05:45,40015.83681,40015.83733,36.645,-120.44,1194.0,363.9312,2.014,201.4,,,506.0,19.7,,540.0,241.0,77.1,16.5,4.362,3.5,,66.8,236.0,25.4,29.9,23.55,9.32,89.6,58.5,0.3,4.12,554.0,11.63,1.038,0.7,0.38,,,,,12.31,7.29,9.58,1.34,5.82,0.78,1.575,,603.0,71.0,104.0,331.0,8.0,27.0,41.0,,,,,81.0,30.0,,,,,,,,,,13.0,5.0,,,,,,74.0,6.0,11.0,27.0,,,,4.0,14.0,,,,,,20.0,28.0,,,,,,,,,,12.0,28.0,18.0,,,"(36.645, -120.44)",2009,7,21,20
27,2009-07-21 20:08:00,20:08:42,40015.83889,40015.83938,36.81666667,-120.4016667,1195.0,364.236,1.917,191.7,,,474.0,15.2,,532.0,238.0,76.8,16.6,4.181,3.3,,54.9,212.0,22.9,24.6,18.3,8.92,87.9,56.4,0.23,3.19,502.0,9.04,0.249,0.62,0.24,,,,,8.83,4.81,4.88,0.79,2.8,0.36,0.745,,492.0,42.0,67.0,147.0,5.0,14.0,20.0,,,,,34.0,14.0,,12.0,,,,,,,,10.0,3.0,,,,,,28.0,,9.0,15.0,,,,10.0,6.0,,,,,,12.0,14.0,,,,,,,,,,,5.0,3.0,,,"(36.81666667, -120.4016667)",2009,7,21,20
28,2009-07-21 20:09:00,20:10:11,40015.83997,40015.84041,36.90833333,-120.3683333,1210.0,368.808,2.008,200.8,,,492.0,35.1,,532.0,239.0,76.8,16.3,4.295,3.5,,61.2,221.0,24.1,27.4,20.85,9.15,87.4,58.4,0.26,3.62,508.0,9.58,0.386,0.64,0.3,,,,,9.61,6.76,7.58,1.25,4.36,0.53,1.09,,533.0,49.0,83.0,240.0,12.0,15.0,29.0,,,,,42.0,18.0,,,,,,,,,,6.0,5.0,,,,,,77.0,,17.0,25.0,,,,,7.0,,,,,,24.0,60.0,3.0,,,,,,,,,7.0,31.0,11.0,,,"(36.90833333, -120.3683333)",2009,7,21,20
29,2009-07-21 20:11:00,20:11:41,40015.84098,40015.84145,36.99,-120.3183333,1201.0,366.0648,1.944,194.4,,,479.0,19.5,,541.0,239.0,76.1,16.6,4.19,3.4,,55.7,212.0,24.6,25.2,19.8,9.02,87.5,60.4,0.19,3.12,507.0,9.48,0.374,0.63,0.24,,,,,8.7,5.84,5.77,1.02,2.97,0.37,0.76,,508.0,40.0,68.0,164.0,7.0,13.0,18.0,,3.0,,,33.0,13.0,,7.0,,,,,,,,6.0,,,,,,,21.0,,7.0,24.0,,,,,4.0,,,,,,11.0,14.0,,,,,,,,,,,10.0,9.0,,,"(36.99, -120.3183333)",2009,7,21,20
30,2009-07-21 20:12:00,20:13:07,40015.84201,40015.84244,37.06,-120.26,1197.0,364.8456,1.894,189.4,,,474.0,28.7,,534.0,240.0,76.0,16.7,4.267,3.3,,75.3,237.0,24.1,27.2,21.45,9.11,88.8,64.5,0.36,4.06,500.0,8.7,0.42,0.63,0.24,,,,,9.25,5.91,8.68,1.3,4.35,0.81,1.625,,643.0,92.0,143.0,431.0,10.0,28.0,49.0,,,,,126.0,47.0,,23.0,,,,,,,,17.0,8.0,,,,7.0,8.0,66.0,13.0,16.0,21.0,,,,7.0,19.0,,,,,,23.0,45.0,6.0,,,,,,,,,6.0,15.0,7.0,,,"(37.06, -120.26)",2009,7,21,20
31,2009-07-21 20:14:00,20:14:40,40015.84306,40015.84352,37.14,-120.2066667,1215.0,370.332,1.889,188.9,,,477.0,19.5,,533.0,239.0,76.5,16.3,4.19,3.4,,57.8,236.0,24.0,28.5,21.0,9.16,88.8,55.4,0.22,5.14,501.0,9.46,0.334,0.64,0.22,,,,,9.7,5.77,7.78,1.14,4.06,0.69,1.335,,590.0,62.0,120.0,304.0,7.0,27.0,39.0,,,,,90.0,31.0,,6.0,,,,,,,,17.0,3.0,,,,,,79.0,11.0,9.0,19.0,,,,,13.0,,,,,,20.0,39.0,,,,,,,,,,7.0,20.0,13.0,,,"(37.14, -120.2066667)",2009,7,21,20
32,2009-07-21 20:15:00,20:16:10,40015.8441,40015.84456,37.245,-120.1833333,1199.0,365.4552,1.909,190.9,,,473.0,12.4,,531.0,239.0,76.5,16.7,4.143,3.1,,52.0,246.0,22.6,28.0,19.95,9.23,90.6,65.9,0.22,3.84,501.0,8.98,0.36,0.65,0.2,,,,,8.97,5.7,6.68,1.04,3.32,0.54,1.11,,588.0,58.0,86.0,241.0,6.0,22.0,26.0,,,,,46.0,21.0,,6.0,,,,,,,,9.0,8.0,,,,,,43.0,,8.0,16.0,,,,,4.0,,,,,,17.0,19.0,,,,,,,,,,4.0,7.0,6.0,,,"(37.245, -120.1833333)",2009,7,21,20
